DATE,DPRIME,DTWEXBGS,GVZCLS,HQMCB10YRP,HQMCB10YR,OVXCLS,STLFSI4,T5YIE,T10Y2Y,TB3MS,VIXCLS,AAA,DEXUSEU,SP500
11/18/2013,3.25,92.9824,19.52,4.01,4.28,19.71,-0.635,1.8,2.36,0.07,13.1,4.63,1.352,1791.53
11/19/2013,3.25,93.0649,19.45,4.01,4.28,19.83,-0.635,1.77,2.42,0.07,13.39,4.63,1.3529,1787.87
11/20/2013,3.25,93.2501,23.04,4.01,4.28,19.87,-0.635,1.75,2.52,0.07,13.4,4.63,1.3451,1781.37
11/21/2013,3.25,93.5638,21.3,4.01,4.28,18.69,-0.635,1.76,2.5,0.07,12.66,4.63,1.347,1795.85
11/22/2013,3.25,93.4198,20.33,4.01,4.28,18.1,-0.6893,1.76,2.44,0.07,12.26,4.63,1.3547,1804.76
11/25/2013,3.25,93.5539,20.02,4.01,4.28,19.23,-0.6893,1.75,2.44,0.07,12.79,4.63,1.3502,1802.48
11/26/2013,3.25,93.5226,19.68,4.01,4.28,18.64,-0.6893,1.71,2.42,0.07,12.81,4.63,1.3555,1802.75
11/27/2013,3.25,93.6864,19.75,4.01,4.28,19.62,-0.6893,1.71,2.46,0.07,12.98,4.63,1.3563,1807.23
11/29/2013,3.25,93.6291,19.33,4.01,4.28,20,-0.6248,1.69,2.47,0.07,13.7,4.63,1.3606,1805.81
12-02-2013,3.25,93.8856,21.43,4.08,4.35,20.28,-0.6248,1.7,2.51,0.07,14.23,4.62,1.3552,1800.9
12-03-2013,3.25,93.8251,21.09,4.08,4.35,19.49,-0.6248,1.69,2.51,0.07,14.55,4.62,1.3604,1795.15
12-04-2013,3.25,93.8997,20.82,4.08,4.35,19.06,-0.6248,1.64,2.54,0.07,14.7,4.62,1.3555,1792.81
12-05-2013,3.25,93.4954,21.78,4.08,4.35,18.59,-0.6248,1.66,2.58,0.07,15.08,4.62,1.3664,1785.03
12-06-2013,3.25,93.4045,20.5,4.08,4.35,17.95,-0.5292,1.65,2.58,0.07,13.79,4.62,1.369,1805.09
12-09-2013,3.25,93.1444,20.65,4.08,4.35,18.1,-0.5292,1.63,2.56,0.07,13.49,4.62,1.3726,1808.37
12-11-2013,3.25,93.0842,20.02,4.08,4.35,17.98,-0.5292,1.65,2.55,0.07,15.42,4.62,1.3798,1782.22
12-12-2013,3.25,93.4292,22.24,4.08,4.35,18.19,-0.5292,1.65,2.55,0.07,15.54,4.62,1.3752,1775.5
12/13/2013,3.25,93.3568,21.87,4.08,4.35,18.42,-0.5553,1.66,2.54,0.07,15.76,4.62,1.3724,1775.32
12/16/2013,3.25,93.2175,21.91,4.08,4.35,17.49,-0.5553,1.68,2.55,0.07,16.03,4.62,1.3757,1786.54
12/17/2013,3.25,93.302,21.79,4.08,4.35,17.7,-0.5553,1.69,2.51,0.07,16.21,4.62,1.3748,1781
12/18/2013,3.25,93.4207,21.39,4.08,4.35,17.26,-0.5553,1.67,2.57,0.07,13.8,4.62,1.3766,1810.65
12/19/2013,3.25,93.7368,22.07,4.08,4.35,16.7,-0.5553,1.75,2.59,0.07,14.15,4.62,1.3666,1809.6
12/20/2013,3.25,93.7211,21.01,4.08,4.35,15.86,-0.6204,1.64,2.52,0.07,13.79,4.62,1.3673,1818.32
12/23/2013,3.25,93.572,20.76,4.08,4.35,15.42,-0.6204,1.67,2.56,0.07,13.04,4.62,1.3701,1827.99
12/24/2013,3.25,93.6734,20.08,4.08,4.35,15.26,-0.6204,1.68,2.61,0.07,12.48,4.62,1.3676,1833.32
12/26/2013,3.25,93.766,19.84,4.08,4.35,15.2,-0.6204,1.7,2.58,0.07,12.33,4.62,1.369,1842.02
12/27/2013,3.25,93.7018,19.1,4.08,4.35,15.74,-0.7428,1.68,2.62,0.07,12.46,4.62,1.3766,1841.4
12/30/2013,3.25,93.4866,20.75,4.08,4.35,16.53,-0.7428,1.64,2.6,0.07,13.56,4.62,1.3816,1841.07
12/31/2013,3.25,93.5576,21.65,4.08,4.35,17.76,-0.7428,1.69,2.66,0.07,13.72,4.62,1.3779,1848.36
01-02-2014,3.25,93.8192,20.42,3.95,4.2,20.24,-0.7428,1.71,2.61,0.04,14.23,4.49,1.367,1831.98
01-03-2014,3.25,93.853,19.19,3.95,4.2,20.6,-0.6173,1.69,2.6,0.04,13.76,4.49,1.3606,1831.37
01-06-2014,3.25,93.9109,19.5,3.95,4.2,20.7,-0.6173,1.75,2.58,0.04,13.55,4.49,1.3636,1826.77
