DATE,Actual,Prediction
2019-09-09,2978.43,2983.084345
2019-09-11,3000.93,2995.686512
2019-09-12,3009.57,3004.089377
2019-09-13,3007.39,3006.360257
2019-09-16,2997.96,2997.151624
2019-09-17,3005.7,2999.769799
2019-09-18,3006.73,3032.755783
2019-09-19,3006.79,3004.057939
2019-09-20,2992.07,2987.951303
2019-09-23,2991.78,3000.748947
2019-09-30,2976.74,2987.638002
2019-10-01,2940.25,2949.229991
2019-10-03,2910.63,2921.666958
2019-10-04,2952.01,2957.372326
2019-10-07,2938.79,2953.545516
2019-10-08,2893.06,2909.140822
2019-10-10,2938.13,2942.020193
2019-10-11,2970.27,2967.7166
2019-10-15,2995.68,2991.254185
2019-10-16,2989.69,2991.283905
2019-10-17,2997.95,2998.278632
2019-10-18,2986.2,2991.49911
2019-10-21,3006.72,3004.10712
2019-10-22,2995.99,2998.875637
2019-10-23,3004.52,3008.86833
2019-10-24,3010.29,3008.577018
2019-10-25,3022.55,3027.145007
2019-10-28,3039.42,3028.435243
2019-10-29,3036.89,3029.62419
2019-10-30,3046.77,3035.642173
2019-11-04,3078.27,3099.41606
2019-11-05,3074.62,3085.610543
2019-11-07,3085.18,3094.06858
2019-11-08,3093.08,3097.12723
2019-11-12,3091.84,3095.843832
2019-11-14,3096.63,3097.515589
2019-11-18,3122.03,3116.834561
2019-11-19,3120.18,3114.696221
2019-11-21,3103.54,3108.573621
2019-11-22,3110.29,3112.819321
2019-11-25,3133.64,3127.340532
2019-11-26,3140.52,3138.53474
2019-11-27,3153.63,3144.49087
2019-11-29,3140.98,3138.341984
2019-12-02,3113.87,3126.43267
2019-12-03,3093.2,3090.958079
2019-12-04,3112.76,3113.773825
2019-12-05,3117.43,3119.579797
2019-12-06,3145.91,3145.554729
2019-12-09,3135.96,3134.20528
2019-12-10,3132.52,3133.377757
2019-12-11,3141.63,3141.701975
2019-12-12,3168.57,3164.946219
2019-12-13,3168.8,3180.606801
2019-12-17,3192.52,3196.446826
2019-12-18,3191.14,3198.650743
2019-12-19,3205.37,3205.821552
2019-12-20,3221.22,3215.127945
2019-12-23,3224.01,3225.447311
2019-12-26,3239.91,3222.626842
2019-12-30,3221.29,3202.568292
2019-12-31,3230.78,3196.974344
2020-01-02,3257.85,3257.594833
2020-01-06,3246.28,3218.846748
2020-01-08,3253.05,3233.309612
2020-01-10,3265.35,3270.054151
2020-01-14,3283.15,3295.194141
2020-01-15,3289.29,3290.77203
2020-01-16,3316.81,3304.905601
2020-01-17,3329.62,3306.10559
2020-01-21,3320.79,3306.076679
2020-01-22,3321.75,3319.318723
2020-01-23,3325.54,3315.479165
2020-01-27,3243.63,3227.241539
2020-01-28,3276.24,3263.999967
2020-01-29,3273.4,3261.635675
2020-01-30,3283.66,3267.288732
2020-01-31,3225.52,3180.493399
2020-02-03,3248.92,3297.560117
2020-02-04,3297.59,3298.320722
2020-02-07,3327.71,3338.930467
2020-02-10,3352.09,3343.761994
2020-02-11,3357.75,3348.19138
2020-02-12,3379.45,3372.86573
2020-02-14,3380.16,3376.350423
2020-02-18,3370.29,3372.791585
2020-02-19,3386.15,3378.720332
2020-02-21,3337.75,3336.019642
2020-02-24,3225.89,3248.976877
2020-02-27,2978.76,3066.296368
2020-02-28,2954.22,3001.742057
2020-03-03,3003.37,2995.29505
2020-03-05,3023.94,2965.837977
2020-03-09,2746.56,2713.507835
2020-03-11,2741.38,2714.790264
2020-03-12,2480.64,2540.564418
2020-03-16,2386.13,2399.387765
2020-03-19,2409.39,2401.904798
2020-03-23,2237.4,2400.893269
2020-03-24,2447.33,2452.647422
2020-03-26,2630.07,2593.683703
2020-03-27,2541.47,2548.994257
2020-03-30,2626.65,2590.56164
2020-03-31,2584.59,2580.283962
2020-04-01,2470.5,2529.181549
2020-04-02,2526.9,2617.549634
2020-04-09,2789.82,2777.150989
2020-04-13,2761.63,2777.963388
2020-04-14,2846.06,2854.72617
2020-04-15,2783.36,2787.159407
2020-04-16,2799.55,2797.47024
2020-04-17,2874.56,2850.60886
2020-04-21,2736.56,2716.255222
2020-04-23,2797.8,2779.547423
2020-04-24,2836.74,2833.233567
2020-04-27,2878.48,2867.118961
2020-05-01,2830.71,2839.816133
2020-05-04,2842.74,2837.554146
2020-05-05,2868.44,2866.329415
2020-05-06,2848.42,2854.409167
2020-05-07,2881.19,2881.27986
2020-05-08,2929.8,2918.190625
2020-05-11,2930.32,2917.648295
2020-05-12,2870.12,2886.06
2020-05-13,2820,2847.052846
2020-05-14,2852.5,2858.493095
2020-05-15,2863.7,2868.346018
2020-05-19,2922.94,2943.034194
2020-05-21,2948.51,2950.618071
2020-05-26,2991.77,2990.328064
2020-05-27,3036.13,2996.776164
2020-05-28,3029.73,3015.930401
2020-05-29,3044.31,3018.366038
2020-06-08,3232.39,3214.443884
2020-06-09,3207.18,3203.186208
2020-06-10,3190.14,3200.944444
2020-06-11,3002.1,3038.342764
2020-06-12,3041.31,3043.536494
2020-06-16,3124.74,3113.09301
2020-06-17,3113.49,3102.62073
2020-06-18,3115.34,3101.786937
2020-06-19,3097.74,3060.978656
2020-06-22,3117.86,3111.41164
2020-06-26,3009.05,3033.227302
2020-06-29,3053.24,3097.706082
2020-06-30,3100.29,3098.880636
2020-07-01,3115.86,3129.4123
2020-07-06,3179.72,3188.801607
2020-07-09,3152.05,3143.2944
2020-07-13,3155.22,3150.815907
2020-07-15,3226.56,3216.807153
2020-07-16,3215.57,3210.165845
2020-07-17,3224.73,3221.204182
2020-07-20,3251.84,3243.621618
2020-07-23,3235.66,3233.55151
2020-07-24,3215.63,3221.078607
2020-07-27,3239.41,3247.212483
2020-07-28,3218.44,3225.209712
2020-07-30,3246.22,3246.94739
2020-08-03,3294.61,3302.311125
2020-08-04,3306.51,3318.920585
2020-08-05,3327.77,3353.846313
2020-08-10,3360.47,3341.580539
2020-08-12,3380.35,3372.11939
2020-08-14,3372.85,3388.848488
2020-08-17,3381.99,3384.803826
2020-08-18,3389.78,3386.354221
2020-08-19,3374.85,3376.699548
2020-08-21,3397.16,3390.11411
2020-08-24,3431.28,3412.514767
2020-08-25,3443.62,3414.982808
2020-08-31,3500.31,3483.590416
2020-09-01,3526.65,3460.20036
2020-09-03,3455.06,3424.232725
2020-09-04,3426.96,3425.906327
2020-09-09,3398.96,3393.417472
2020-09-10,3339.19,3357.638329
2020-09-14,3383.54,3372.095872
2020-09-15,3401.2,3386.292862
2020-09-16,3385.49,3385.211002
2020-09-17,3357.01,3381.854031
2020-09-18,3319.47,3365.724383
2020-09-22,3315.57,3339.152704
2020-09-23,3236.92,3286.031422
2020-09-28,3351.6,3310.535666
2020-09-29,3335.47,3312.553504
2020-10-01,3380.8,3363.904117
2020-10-02,3348.44,3339.775215
2020-10-05,3408.63,3410.73688
2020-10-08,3446.83,3439.39718
2020-10-13,3511.93,3471.965154
2020-10-14,3488.67,3481.937573
2020-10-15,3483.34,3439.87003
2020-10-16,3483.81,3446.593247
2020-10-19,3426.92,3435.912224
2020-10-20,3443.12,3438.034105
2020-10-23,3465.39,3444.071527
2020-10-26,3400.97,3404.028117
2020-10-27,3390.68,3404.600959
2020-10-28,3271.03,3341.02364
2020-10-29,3310.11,3317.88433
2020-11-02,3310.24,3320.848785
2020-11-03,3369.16,3373.537859
2020-11-04,3443.44,3434.827815
2020-11-05,3510.45,3518.871072
2020-11-06,3509.44,3537.183319
2020-11-09,3550.5,3543.093601
2020-11-10,3545.53,3547.816811
2020-11-12,3537.01,3540.633635
2020-11-16,3626.91,3613.003087
2020-11-17,3609.53,3606.039503
2020-11-23,3577.59,3594.659587
2020-11-24,3635.41,3628.446537
2020-11-25,3629.65,3627.237137
2020-11-30,3621.63,3620.863657
2020-12-02,3669.01,3663.533911
2020-12-03,3666.72,3664.41572
2020-12-04,3699.12,3695.774815
2020-12-07,3691.96,3697.794986
2020-12-08,3702.25,3697.107278
2020-12-09,3672.82,3681.029773
2020-12-10,3668.1,3672.228657
2020-12-11,3663.46,3667.18941
2020-12-14,3647.49,3667.420659
2020-12-15,3694.62,3695.314923
2020-12-16,3701.17,3698.9685
2020-12-17,3722.48,3723.983551
2020-12-18,3709.41,3717.057325
2020-12-21,3694.92,3702.064206
2020-12-22,3687.26,3679.401974
2020-12-28,3735.36,3716.183513
2020-12-29,3727.04,3716.858136
2020-12-30,3732.04,3730.00518
2020-12-31,3756.07,3735.674923
2021-01-04,3700.65,3705.891752
2021-01-07,3803.79,3740.907682
2021-01-11,3799.61,3631.508289
2021-01-13,3809.84,3616.930006
2021-01-15,3768.25,3731.081486
2021-01-19,3798.91,3836.815662
2021-01-22,3841.47,3805.103734
2021-01-25,3855.36,3846.023022
2021-01-27,3750.77,3760.57009
2021-01-28,3787.38,3778.078222
2021-01-29,3714.24,3743.199452
2021-02-01,3773.86,3779.536418
2021-02-02,3826.31,3832.265927
2021-02-03,3830.17,3847.70321
2021-02-04,3871.74,3857.063535
2021-02-05,3886.83,3898.302213
2021-02-08,3915.59,3913.719193
2021-02-09,3911.23,3913.339125
2021-02-10,3909.88,3910.999397
2021-02-11,3916.38,3915.729486
2021-02-12,3934.83,3955.724307
2021-02-16,3932.59,3935.462
2021-02-17,3931.33,3929.979225
2021-02-18,3913.97,3918.551676
2021-02-19,3906.71,3901.16516
2021-02-22,3876.5,3877.278259
2021-02-25,3829.34,3839.97538
2021-02-26,3811.15,3822.990989
2021-03-08,3821.35,3883.555383
2021-03-10,3898.81,3883.742457
2021-03-12,3943.34,3945.125283
2021-03-15,3968.94,3971.388947
2021-03-19,3913.1,3953.094371
2021-03-22,3940.59,3983.232305
2021-03-24,3889.14,3980.54708
2021-03-25,3909.52,3990.069292
2021-03-26,3974.54,4049.732878
2021-03-29,3971.09,3973.356612
2021-03-31,3972.89,3976.641121
2021-04-01,4019.87,4043.614956
2021-04-06,4073.94,4059.420328
2021-04-07,4079.95,4080.974694
2021-04-08,4097.17,4095.018117
2021-04-09,4128.8,4113.387855
2021-04-12,4127.99,4121.446235
2021-04-13,4141.59,4134.576287
2021-04-14,4124.66,4137.379129
2021-04-15,4170.42,4169.951267
2021-04-19,4163.26,4168.146399
2021-04-21,4173.42,4169.544224
2021-04-23,4180.17,4181.371023
2021-04-26,4187.62,4182.75758
2021-04-29,4211.47,4190.31481
2021-04-30,4181.17,4172.71904
2021-05-03,4192.66,4184.516833
2021-05-06,4201.62,4197.215937
2021-05-07,4232.6,4210.176971
2021-05-10,4188.43,4209.588391
2021-05-11,4152.1,4148.50433
2021-05-13,4112.5,4122.894037
2021-05-14,4173.85,4185.399304
2021-05-17,4163.29,4193.62746
2021-05-21,4155.86,4148.317043
2021-05-24,4197.05,4198.761643
2021-05-25,4188.13,4192.347121
2021-05-26,4195.99,4200.830904
2021-05-28,4204.11,4207.145394
2021-06-02,4208.12,4217.359485
2021-06-07,4226.52,4235.195179
2021-06-08,4227.26,4226.809188
2021-06-09,4219.55,4234.197245
2021-06-11,4247.44,4261.903721
2021-06-14,4255.15,4244.46296
2021-06-15,4246.59,4234.346
2021-06-17,4221.86,4187.263152
2021-06-18,4166.45,4132.000342
2021-06-23,4241.84,4248.900056
2021-06-24,4266.49,4281.895668
2021-06-28,4290.61,4291.449517
2021-06-29,4291.8,4274.52825
2021-07-02,4352.34,4380.632096
2021-07-07,4358.13,4361.529388
2021-07-08,4320.82,4339.004036
2021-07-09,4369.55,4370.337944
2021-07-12,4384.63,4379.987569
2021-07-13,4369.21,4384.994252
2021-07-14,4374.3,4383.953182
2021-07-16,4327.16,4344.758157
2021-07-19,4258.49,4297.915232
2021-07-20,4323.06,4326.665239
2021-07-22,4367.48,4368.388457
2021-07-23,4411.79,4409.567188
2021-07-26,4422.3,4406.610894
2021-07-29,4419.15,4397.492061
2021-07-30,4395.26,4397.695334
2021-08-02,4387.16,4407.715339
2021-08-04,4402.66,4416.804358
2021-08-05,4429.1,4430.58476
2021-08-06,4436.52,4448.782677
2021-08-11,4447.7,4455.62186
2021-08-12,4460.83,4465.709249
2021-08-16,4479.71,4469.227123
2021-08-17,4448.08,4432.237772
2021-08-18,4400.27,4406.724414
2021-08-19,4405.8,4403.068878
2021-08-20,4441.67,4445.216285
2021-08-24,4486.23,4471.169393
2021-08-26,4470,4445.758936
2021-08-27,4509.37,4502.877752
2021-08-30,4528.79,4512.344807
2021-09-03,4535.43,4478.780157
2021-09-07,4520.03,4506.043327
2021-09-08,4514.07,4505.897054
2021-09-09,4493.28,4490.530849
2021-09-10,4458.58,4448.977955
2021-09-14,4443.05,4442.560099
2021-09-15,4480.7,4476.022582
2021-09-16,4473.75,4469.512295
2021-09-22,4395.64,4413.243852
2021-09-24,4455.48,4401.094676
2021-09-27,4443.11,4403.106618
2021-09-28,4352.63,4311.944667
2021-09-29,4359.46,4300.778043
2021-10-01,4357.04,4356.696077
2021-10-04,4300.46,4279.453677
2021-10-05,4345.72,4312.42629
2021-10-07,4399.76,4356.519985
2021-10-12,4350.65,4387.970629
2021-10-13,4363.8,4429.778633
2021-10-14,4438.26,4480.636844
2021-10-18,4486.46,4495.810812
2021-10-19,4519.63,4502.028818
2021-10-20,4536.19,4530.468653
2021-10-21,4549.78,4545.935209
2021-10-25,4566.48,4555.260822
2021-10-26,4574.79,4583.504081
2021-10-27,4551.68,4575.179677
2021-10-28,4596.42,4584.646867
2021-10-29,4605.38,4628.294236
2021-11-01,4613.67,4633.699388
2021-11-02,4630.65,4649.622527
2021-11-04,4680.06,4658.474157
2021-11-05,4697.53,4685.053346
2021-11-08,4701.7,4673.133441
2021-11-09,4685.25,4672.535186
2021-11-10,4646.71,4670.765669
2021-11-12,4682.85,4678.106729
2021-11-16,4700.9,4691.33947
2021-11-17,4688.67,4691.863805
2021-11-18,4704.54,4699.241253
2021-11-22,4682.94,4685.572519
2021-11-23,4690.7,4687.995868
2021-11-24,4701.46,4694.957822
2021-11-26,4594.62,4531.853473
2021-11-30,4567,4565.886465
2021-12-03,4538.43,4466.029971
2021-12-06,4591.67,4578.164571
2021-12-07,4686.75,4643.602484
2021-12-08,4701.21,4642.023544
2021-12-09,4667.45,4647.53101
2021-12-10,4712.02,4709.778481
2021-12-13,4668.97,4658.326824
2021-12-15,4709.85,4611.152016
2021-12-16,4668.67,4650.669096
2021-12-17,4620.64,4521.0862
2021-12-21,4649.23,4611.303515
2021-12-23,4725.79,4692.449113
2021-12-28,4786.35,4759.29923
2021-12-29,4793.06,4774.763487
2021-12-30,4778.73,4766.166323
2022-01-04,4793.54,4734.494221
2022-01-05,4700.58,4681.445153
2022-01-06,4696.05,4682.218088
2022-01-10,4670.29,4678.745632
2022-01-11,4713.07,4708.064565
2022-01-12,4726.35,4713.153166
2022-01-13,4659.03,4645.46566
2022-01-14,4662.85,4669.55187
2022-01-18,4577.11,4563.210076
2022-01-19,4532.76,4529.268069
2022-01-20,4482.73,4502.779012
2022-01-21,4397.94,4339.259377
2022-01-25,4356.45,4348.713658
2022-01-26,4349.93,4317.844635
2022-01-27,4326.51,4346.014695
2022-01-31,4515.55,4495.195224
2022-02-03,4477.44,4479.733031
2022-02-04,4500.53,4498.301547
2022-02-08,4521.54,4525.020784
2022-02-11,4418.64,4425.849831
2022-02-14,4401.67,4394.518946
2022-02-15,4471.07,4460.773288
2022-02-16,4475.01,4472.578818
2022-02-18,4348.87,4362.68452
2022-02-23,4225.5,4304.3323
2022-03-02,4386.54,4344.533897
2022-03-03,4363.49,4342.895297
2022-03-04,4328.87,4298.493153
2022-03-07,4201.09,4192.817799
2022-03-08,4170.7,4185.419138
2022-03-10,4259.52,4306.323843
2022-03-11,4204.31,4243.361713
2022-03-14,4173.11,4211.440413
2022-03-15,4262.45,4224.348536
2022-03-16,4357.86,4347.35831
2022-03-22,4511.61,4483.863974
2022-03-23,4456.24,4466.542697
2022-03-24,4520.16,4494.81917
2022-03-25,4543.06,4532.004812
2022-03-29,4631.6,4600.055813
2022-03-30,4602.45,4598.412007
2022-03-31,4530.41,4561.575045
2022-04-01,4545.86,4561.459162
2022-04-04,4582.64,4562.075954
2022-04-05,4525.12,4507.244992
2022-04-08,4488.28,4472.625799
2022-04-11,4412.53,4425.871296
2022-04-12,4397.45,4419.313567
2022-04-13,4446.59,4456.856178
